SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6,LANDBIRD
,HITI,,Highland Tinamou,Nothocercus bonapartei,NOTBON,,TRUE
,GRTI,,Great Tinamou,Tinamus major,TINMAJ,,TRUE
,LITI,,Little Tinamou,Crypturellus soui,CRYSOU,,TRUE
,THTI,,Thicket Tinamou,Crypturellus cinnamomeus,CRYCIN,,TRUE
,SBTI,,Slaty-breasted Tinamou,Crypturellus boucardi,CRYBOU,,TRUE
,CHTI,,Choco Tinamou,Crypturellus kerriae,CRYKER,,TRUE
,WFWD,,White-faced Whistling-Duck,Dendrocygna viduata,DENVID,,FALSE
,BBWD,,Black-bellied Whistling-Duck,Dendrocygna autumnalis,DENAUT,,FALSE
,WIWD,,West Indian Whistling-Duck,Dendrocygna arborea,DENARB,,FALSE
,FUWD,,Fulvous Whistling-Duck,Dendrocygna bicolor,DENBIC,,FALSE
,EMGO,,Emperor Goose,Anser canagicus,ANSCAN,,FALSE
,SNGO,,Snow Goose,Anser caerulescens,ANSCAE,,FALSE
+,LSGW,,Lesser Snow Goose White-morph,Anser caerulescens caerulescens,ANSCCA,,FALSE
+,LSGI,,Lesser Snow Goose Intermediate-morph,Anser caerulescens caerulescens,ANSCCA,,FALSE
+,LSGB,,Lesser Snow Goose Blue-morph,Anser caerulescens caerulescens,ANSCCA,,FALSE
+,GSGW,,Greater Snow Goose White-morph,Anser caerulescens atlantica,ANSCAT,,FALSE
+,GSGI,,Greater Snow Goose Intermediate-morph,Anser caerulescens atlantica,ANSCAT,,FALSE
+,GSGB,,Greater Snow Goose Blue-morph,Anser caerulescens atlantica,ANSCAT,,FALSE
+,SRGH,,Snow X Ross's Goose Hybrid,Anser caerulescens x rossii,ANSCAR,,FALSE
+,SRGO,,Snow/Ross's Goose,Anser caerulescens/rossii,ANSCRO,,FALSE
,ROGO,,Ross's Goose,Anser rossii,ANSROS,,FALSE
,GRGO,,Graylag Goose,Anser anser,ANSANS,,FALSE
,GWFG,,Greater White-fronted Goose,Anser albifrons,ANSALB,,FALSE
,LWFG,,Lesser White-fronted Goose,Anser erythropus,ANSERY,,FALSE
,TABG,,Taiga Bean-Goose,Anser fabalis,ANSFAB,,FALSE
,TUBG,,Tundra Bean-Goose,Anser serrirostris,ANSSER,,FALSE
,PFGO,,Pink-footed Goose,Anser brachyrhynchus,ANSBRA,,FALSE
,BRAN,,Brant,Branta bernicla,BRABER,,FALSE
+,ATBR,,Atlantic Brant,Branta bernicula bernicla,BRABBE,,FALSE
+,BRIN,,Brant Intergrade,Branta bernicula bernicula x nigrican,BRABBN,,FALSE
+,BLBR,,Black Brant,Branta bernicula nigricans,BRABNI,,FALSE
,BARG,*,Barnacle Goose,Branta leucopsis,BRALEU,,FALSE
,CACG,*,Cackling Goose,Branta hutchinsii,BRAHUT,,FALSE
+,ACGO,,Aleutian Cackling Goose,Branta hutchinsii leucopareia,BRAHLE,,FALSE
+,MCGO,,Minima Cackling Goose,Branta  hutchinsii minima,BRAHMI,,FALSE
+,CCGO,,Cackling/Canada Goose,Branta  hutchinsii/canadensis,BRAHUC,,FALSE
,CANG,*,Canada Goose,Branta canadensis,BRACAN,,FALSE
+,LCGO,,Large Canada Goose,Branta canadensis moffitti,BRACMO,,FALSE
+,SCGO,,Small Canada Goose,Branta canadensis parvipes,BRACPA,,FALSE
,HAGO,,Hawaiian Goose,Branta sandvicensis,BRASAN,,FALSE
+,UNGO,,Unidentified Goose,Anserinae (gen. sp.),ANSGSP,,FALSE
,MUSW,,Mute Swan,Cygnus olor,CYGOLO,,FALSE
,TRUS,*,Trumpeter Swan,Cygnus buccinator,CYGBUC,,FALSE
,TUSW,,Tundra Swan,Cygnus columbianus,CYGCOL,,FALSE
+,WHSW,,Whistling Swan,Cygnus columbianus columbianus,CYGCCO,,FALSE
+,BESW,,Bewick's Swan,Cygnus columbianus bewickii,CYGCBE,,FALSE
,WHOS,*,Whooper Swan,Cygnus cygnus,CYGCYG,,FALSE
,CODU,,Comb Duck,Sarkidiornis sylvicola,SARSYL,,FALSE
,ORGO,,Orinoco Goose,Neochen jubata,NEOJUB,,FALSE
,EGGO,,Egyptian Goose,Alopochen aegyptiaca,ALOAEG,,FALSE
,COMS,*,Common Shelduck,Tadorna tadorna,TADTAD,,FALSE
,RUSH,,Ruddy Shelduck,Tadorna ferruginea,TADFER,,FALSE
,MUDU,,Muscovy Duck,Cairina moschata,CAIMOS,,FALSE
,WODU,,Wood Duck,Aix sponsa,AIXSPO,,FALSE
,BATE,,Baikal Teal,Sibirionetta formosa,SIBFOR,,FALSE
,GARG,,Garganey,Spatula querquedula,SPAQUE,,FALSE
,BWTE,,Blue-winged Teal,Spatula discors,SPADIS,,FALSE
+,BCTE,,Blue-winged/Cinnamon Teal,Spatula discors/cyanoptera,SPADIC,,FALSE
,CITE,,Cinnamon Teal,Spatula cyanoptera,SPACYA,,FALSE
,NSHO,*,Northern Shoveler,Spatula clypeata,SPACLY,,FALSE
,GADW,,Gadwall,Mareca strepera,MARSTR,,FALSE
,FADU,,Falcated Duck,Mareca falcata,MARFAL,,FALSE
,EUWI,,Eurasian Wigeon,Mareca penelope,MARPEN,,FALSE
,AMWI,,American Wigeon,Mareca americana,MARAME,,FALSE
,LAYD,*,Laysan Duck,Anas laysanensis,ANALAY,,FALSE
,HAWD,*,Hawaiian Duck,Anas wyvilliana,ANAWYV,,FALSE
,ESBD,,Eastern Spot-billed Duck,Anas zonorhyncha,ANAZON,,FALSE
,MALL,,Mallard,Anas platyrhynchos,ANAPLA,,FALSE
,MEDU,,Mexican Duck,Anas diazi,ANADIA,,FALSE
+,ABMH,*,American Black Duck X Mallard Hybrid,Anas rubripes x platyrhynchos,ANARUP,,FALSE
,ABDU,,American Black Duck,Anas rubripes,ANARUB,,FALSE
,MODU,,Mottled Duck,Anas fulvigula,ANAFUL,,FALSE
,WCHP,*,White-cheeked Pintail,Anas bahamensis,ANABAH,,FALSE
,NOPI,,Northern Pintail,Anas acuta,ANAACU,,FALSE
,GWTE,,Green-winged Teal,Anas crecca,ANACRE,,FALSE
+,AGWT,,American Green-winged Teal,Anas crecca carolinensis,ANACCA,,FALSE
+,EGWT,,Eurasian Green-winged Teal,Anas crecca crecca,ANACCR,,FALSE
,CANV,,Canvasback,Aythya valisineria,AYTVAL,,FALSE
,REDH,,Redhead,Aythya americana,AYTAME,,FALSE
,COMP,*,Common Pochard,Aythya ferina,AYTFER,,FALSE
,RNDU,,Ring-necked Duck,Aythya collaris,AYTCOL,,FALSE
,TUDU,,Tufted Duck,Aythya fuligula,AYTFUL,,FALSE
,GRSC,,Greater Scaup,Aythya marila,AYTMAR,,FALSE
,LESC,,Lesser Scaup,Aythya affinis,AYTAFF,,FALSE
,STEI,,Steller's Eider,Polysticta stelleri,POLSTE,,FALSE
,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,,FALSE
,KIEI,,King Eider,Somateria spectabilis,SOMSPE,,FALSE
,COEI,,Common Eider,Somateria mollissima,SOMMOL,,FALSE
,HADU,,Harlequin Duck,Histrionicus histrionicus,HISHIS,,FALSE
,LABD,*,Labrador Duck,Camptorhynchus labradorius,CAMLAB,,FALSE
,SUSC,,Surf Scoter,Melanitta perspicillata,MELPER,,FALSE
,VESC,,Velvet Scoter,Melanitta fusca,MENFUS,*,FALSE
,WWSC,,White-winged Scoter,Melanitta deglandi,MELDEG,,FALSE
,STSC,,Stejneger's Scoter,Melanitta stejnegeri,MELSTE,,FALSE
,COSC,,Common Scoter,Melanitta nigra,MENNIG,,FALSE
,BLSC,,Black Scoter,Melanitta americana,MELAME,,FALSE
,LTDU,,Long-tailed Duck,Clangula hyemalis,CLAHYE,,FALSE
,BUFF,,Bufflehead,Bucephala albeola,BUCALB,,FALSE
,COGO,,Common Goldeneye,Bucephala clangula,BUCCLA,,FALSE
,BAGO,,Barrow's Goldeneye,Bucephala islandica,BUCISL,,FALSE
,SMEW,,Smew,Mergellus albellus,MERALB,,FALSE
,HOME,,Hooded Merganser,Lophodytes cucullatus,LOPCUC,,FALSE
,COME,,Common Merganser,Mergus merganser,MERMER,,FALSE
,RBME,,Red-breasted Merganser,Mergus serrator,MERSER,,FALSE
,MADU,,Masked Duck,Nomonyx dominicus,NOMDOM,,FALSE
,RUDU,,Ruddy Duck,Oxyura jamaicensis,OXYJAM,,FALSE
+,UNDU,,Unidentified Duck,"Anatinae (gen, sp)",ANAGSP,,FALSE
,PLCH,,Plain Chachalaca,Ortalis vetula,ORTVET,,TRUE
,GHEC,*,Gray-headed Chachalaca,Ortalis cinereiceps,ORTCIN,,TRUE
,RVCH,,Rufous-vented Chachalaca,Ortalis ruficauda,ORTRUF,,TRUE
,RBEC,*,Rufous-bellied Chachalaca,Ortalis wagleri,ORTWAG,,TRUE
,WMCH,,West Mexican Chachalaca,Ortalis poliocephala,ORTPOL,,TRUE
,WBCH,,White-bellied Chachalaca,Ortalis leucogastra,ORTLEU,,TRUE
,CRGU,,Crested Guan,Penelope purpurascens,PENPUR,,TRUE
,BLAG,*,Black Guan,Chamaepetes unicolor,CHAUNI,,TRUE
,HIGU,,Highland Guan,Penelopina nigra,PENNIG,,TRUE
,HOGU,,Horned Guan,Oreophasis derbianus,OREDER,,TRUE
,GRCU,,Great Curassow,Crax rubra,CRARUB,,TRUE
,HELG,*,Helmeted Guineafowl,Numida meleagris,NUMMEL,,TRUE
,TFQU,,Tawny-faced Quail,Rhynchortyx cinctus,RHYCIN,,TRUE
,MOUQ,*,Mountain Quail,Oreortyx pictus,OREPIC,,TRUE
,BCWP,,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,DENLEU,,TRUE
,LTWP,,Long-tailed Wood-Partridge,Dendrortyx macroura,DENMAC,,TRUE
,BEWP,,Bearded Wood-Partridge,Dendrortyx barbatus,DENBAR,,TRUE
,BAQU,,Banded Quail,Philortyx fasciatus,PHIFAS,,TRUE
