protocol,distance,time,note
FRPC_General_5min_1TB,B,E,
3_5m50M+FlyByTm,B,J,
5m50M+,B,E,
FR50,B,E,
FR50_T35,B,J,
FR50_T10,B,D,
3_5m50M+_NWRS_R5_LAND,B,J,
3_5_10m50M+FlyByTmDt,B,C,
5_10m50M+Fly,B,H,
FRPC_General_10min_1TB,B,D,
3m100M,F,G,
FR50_3_5_10,B,C,
FRPC_USACE_10min_3TB,B,C,
3_5m100M+_NWRS_R5_GRASS,M,J,
FRPC_WDFW_General_6min_1TB,S,S,
5_10m50_100MFlyByTm,A,H,
3_5_10m25_50M+FlyByTm,T,C,
3_5_10m25_50_100_150MFly,U,C,
3_5_10m25_50_100M+Fly,V,C,
3_5m50_100M+Fly,A,J,
FR50_00,A,E,
0_to_9m25_50_100M+Fly,V,M,
0_to_9m25_50_100M+_KNUTSON,V,M,
5_10m50_100M+,A,H,
5_10m50_100MFlyByTmBr_Hb_Dt,A,H,
FR10_25_50,O,E,
5_10m25_50M+Fly,T,H,
3_5_10m25_50_100M+Fly_GRP,V,C,
5_10m50_100M+Fly,A,H,
3_5_10m50_100M+,A,C,
5_10m50_100M,W,H,
5_10m50_100MFly,A,H,
3_5_10m25_50_100MFlyByTm,V,C,
5_10m50_100MFly_OUTSIDE_100M,A,H,
3_5m50_100MFly,A,J,
MN_BBA_25_50_100M+,A,ZZ,
5_10m25_50M+,T,H,
0_to_9m10_25_50M+Fly,X,M,
3_5_10m25_50M+Fly,T,C,
3_5_10m50_100M+FlyDetect,A,C,
3_5m25_50M+FlyByTm,T,J,
3_5_10m50_100MFlyByTm,A,C,
5_10m25_50_100MFlyByTm,V,H,
VCP25,Y,E,
VCP10_30,Z,E,
VCP10_50,AA,E,
VCP10,BB,E,
VCP300,E,E,
VCP100,E,E,
VCP10_TM,BB,E,
VRPC_General_5min_1TB,E,E,
INBM_VRPC,CC,M,
3_5mUnltdDist,E,J,
10mUnltdDist,E,D,
KBO_VRPC_2,E,J,
KBO_VRPC_1,E,E,
KBO_VRPC_3,E,Q,
KBO_FRPC_1,B,J,
KBO_VRPC_3_SimCount,E,Q,
KBO_VRPC_2_SimCount,E,J,
KBO_VRPC_1_SimCount,E,E,
IMBCR_VRPC,E,R,
KBO_VRPC_BBS_2,E,G,"this one technically has time buckets but they are weird, just treat them as G"
KBO_VRPC_BBS_1,E,G,
KBO_VRPC_4,E,M,
VRPC_EFTA_6MIN_6TB,E,R,
RSL_VRPC_2,E,J,
RSL_FRPC_1,B,J,
RSL_VRPC_1,E,E,
RSL_VRPC_5,E,U,
RSL_VRPC_4,E,C,
RSL_VRPC_3,E,D,"ditto KBO_VRPC_BBS_2, except with 10 minute count"
