"prov_bcr","Longitude","Latitude"
"ON-0",-82.9689030338997,44.3620011243919
"MI-0",-82.8818365045549,42.8995520147239
"AK-1",-169.946016261042,57.9769525592896
"AK-2",-160.325094440654,60.8148103562703
"MB-3",-94.892804539767,59.3232235577384
"NL-3",-63.6323806663753,58.6698043334478
"NT-3",-118.614094655585,70.3667571726242
"NU-3",-89.4709937929027,69.6585024207014
"QC-3",-73.5757109760462,60.0085970484343
"YT-3",-137.928524427888,68.2414131879966
"AK-3",-153.945074306329,68.9699412489909
"BC-4",-128.847779731361,58.5680576439577
"NT-4",-128.371310106312,63.546876812974
"YT-4",-135.072898384509,63.0325386076847
"AK-4",-151.251907274658,64.0406723909717
"BC-5",-127.251092968407,52.5806034949691
"YT-5",-140.361817614305,60.5078026261245
"AK-5",-139.791341692588,59.2329065537604
"CA-5",-123.248520644254,40.6488588898316
"OR-5",-123.048066246522,43.9596037041887
"WA-5",-122.794142140791,47.1047267010261
"AB-6",-115.139942918944,56.3567809054803
"BC-6",-121.766307573455,57.9371280595146
"MB-6",-99.2490431460949,52.4476674924966
"NT-6",-123.068289191171,64.0994617944725
"SK-6",-106.048886188411,54.1885095333516
"YT-6",-133.772540251044,65.8961125796345
"AB-7",-110.778769391719,59.4901788655988
"MB-7",-96.1358649585237,57.9629966064552
"NL-7",-62.5703111438607,54.0532490591588
"NT-7",-109.651749836244,62.7247568163421
"NU-7",-98.9411730812533,61.3397866018684
"ON-7",-84.9592931597259,53.2030924915845
"QC-7",-71.8789361124659,55.1793933154012
"SK-7",-104.914017619067,59.4430237746273
"AB-8",-110.426507518563,58.5180757962923
"MB-8",-97.130817427249,54.895798725543
"NL-8",-56.7721667711393,50.071504062169
"ON-8",-88.4408365046051,51.0763575271362
"QC-8",-70.3084627600684,50.6019431190686
"SK-8",-105.577853948335,57.2156776501964
"BC-9",-120.541916405705,50.2260421732845
"CA-9",-120.178613267464,40.15781235248
"ID-9",-114.236105180981,43.3337259920452
"NV-9",-116.758081695392,39.7453984828687
"OR-9",-119.602841764751,43.5365034946632
"UT-9",-113.003993199291,39.9480367546355
"WA-9",-119.741877911088,47.3037944385319
"AB-10",-116.501548869125,51.8835751737665
"BC-10",-122.141473760085,53.1999257980538
"CO-10",-108.056621455936,40.6889960095357
"ID-10",-115.049169982307,45.4238005564559
"MT-10",-112.579652902203,46.6899976481317
"OR-10",-118.796372010795,44.6956695321907
"UT-10",-110.981591183951,41.4960660257523
"WA-10",-118.036895069054,48.252501242426
"WY-10",-108.692103604211,42.8724180076248
"AB-11",-112.067498815791,51.4638751664952
"MB-11",-99.1852009184942,49.9704746200547
"SK-11",-106.108427665054,50.840152447847
"IA-11",-94.1542322947021,42.6242834988144
"MN-11",-95.5666048843481,45.5727301990967
"MT-11",-108.33670407497,48.3749308814369
"ND-11",-99.583867574374,47.6694041148031
"NE-11",-97.7415928043513,42.4478665437084
"SD-11",-98.2821351456413,44.4998708868283
"MB-12",-95.8283492191481,49.7504612188794
"ON-12",-83.9827953605695,47.4202175283462
"QC-12",-74.8313353407479,47.3468691928566
"MI-12",-85.8431253130046,45.3855144616632
"MN-12",-93.504625812481,47.5159469066373
"WI-12",-90.27513771707,45.8444783118487
"ON-13",-79.4169422921903,44.0229331978127
"QC-13",-72.7713769934986,45.9118659898958
"NY-13",-76.0920430439033,43.1695414503292
"OH-13",-81.6142474589787,41.039257393868
"PA-13",-80.1181069337699,41.5991901136196
"VT-13",-73.2139052157238,44.2047098858448
"NB-14",-66.3733343742056,46.609591813361
"NS-14",-63.3523689840093,45.1638410482467
"PE-14",-63.2816904007719,46.3787175418885
"QC-14",-68.4970332262832,47.517026421829
"CT-14",-73.1962741614104,41.9278238026599
"MA-14",-72.8012450715734,42.4508241148336
"ME-14",-69.2070115421068,45.4192896858616
"NH-14",-71.6533082058903,43.8082428032398
"NY-14",-74.4424212743518,43.8685428732478
"VT-14",-72.5514119643145,44.0337944253833
"CA-15",-120.005704215746,38.5466492391394
"NV-15",-119.902758199867,39.1785526021339
"AZ-16",-111.207301033181,35.9425358219951
"CO-16",-106.950133264653,38.8257016443871
"ID-16",-111.600458466054,42.1644729180323
"NM-16",-106.78506292334,35.4383889393682
"NV-16",-114.103945754124,36.5937177271968
"UT-16",-110.823476499842,38.8434706617307
"WY-16",-106.035007017821,41.79263805789
"MT-17",-107.034820867523,46.575457997353
"ND-17",-102.498281860085,46.9074951247606
"NE-17",-101.582620583517,42.897085214914
"SD-17",-101.963156806584,44.4403403562961
"WY-17",-105.412300571603,43.742237609909
"CO-18",-103.528952933477,39.0541046090775
"KS-18",-101.342003134112,38.2832345386507
"NE-18",-102.797207378537,41.6108804049251
"NM-18",-103.793329540889,34.9245914817065
"OK-18",-101.766283651588,36.7575475451624
"SD-18",-102.310170367959,43.2786274959375
"TX-18",-102.06018627467,33.9813553061892
"WY-18",-104.588700106334,41.5795536988021
"KS-19",-98.8976618405117,38.5861522681498
"NE-19",-99.7450177038087,41.411053526261
"OK-19",-98.7379612244438,35.7712124223841
"SD-19",-101.492007511095,43.0562529873462
"TX-19",-100.304142249377,33.3085542017987
"TX-20",-99.2320987752172,30.4341420124564
"KS-21",-96.0802857748943,37.0718907853621
"OK-21",-96.837665105857,35.117733461281
"TX-21",-97.3787425011218,31.6469772522793
"IA-22",-93.4598794015934,41.8604276523472
"IL-22",-89.2562050288081,40.3131372513072
"IN-22",-86.1326102660241,40.3654971257674
"KS-22",-95.8579744051752,38.4135015223529
"MI-22",-83.7392992643357,41.9678452800259
"MN-22",-93.2668913390119,44.0347968097424
"MO-22",-93.1059525456736,39.3963925666154
"NE-22",-96.3906585844907,41.0745108658571
"OH-22",-83.7443492950907,40.3720196544066
"OK-22",-95.6963196420407,36.4296314960219
"SD-22",-96.68271932228,43.3721115070595
"WI-22",-90.7575028048744,44.0247393826381
"IA-23",-91.36124834185,42.9818002360804
"IL-23",-89.8386554835397,42.3674816685476
"IN-23",-85.9758108010638,41.3620002021528
"MI-23",-84.8198605510253,42.8467944300396
"MN-23",-94.1292414594309,45.5426711026114
"OH-23",-84.7656314045003,41.6588896243732
"WI-23",-89.8591627200924,44.0471306990477
"AL-24",-87.1478088294078,34.7114258168736
"AR-24",-92.8067934137499,36.0263386519138
"IL-24",-88.7189921359515,37.8837880944971
"IN-24",-86.5688841981129,38.7717454870833
"KS-24",-94.681708316874,37.0225937506971
"KY-24",-85.8615583351986,37.5997465546229
"MO-24",-92.1773312002434,37.5627912220238
"OH-24",-83.8620693395919,38.9645618153877
"OK-24",-94.8293705446488,36.0888532317005
"TN-24",-86.795216572784,35.8969727822019
"AR-25",-93.0949435398311,34.2637695843969
"LA-25",-92.9798958523065,31.8740105617541
"OK-25",-95.3170908050604,34.686231642011
"TX-25",-94.8120839261913,31.736767980992
"AR-26",-91.0293913272727,34.9777315525867
"IL-26",-89.4490602002975,37.2893117886176
"KY-26",-89.2274902948329,36.7397951956741
"LA-26",-91.2615725904339,30.9196992906728
"MO-26",-89.8102042825489,36.6690307357521
"MS-26",-90.6182188714249,33.5455363751412
"TN-26",-89.5637292171934,36.1032491014617
"AL-27",-87.0731880155934,32.1121184861246
"FL-27",-84.322545723024,30.3600358828085
"GA-27",-83.0356727254264,31.8610058206599
"KY-27",-88.7280975504901,36.7755506853654
"LA-27",-90.5122525951701,30.7751923148982
"MS-27",-89.4857306534095,32.5905677126471
"NC-27",-77.7904246028183,35.2857501461912
"SC-27",-80.3556046668637,33.547232653331
